Symbol,Date,Open,High,Low,Close,Adj Close,Volume
SP500TR,12/31/2012,2462.709961,2505.26001,2455.120117,2504.439941,2504.439941,0
SP500TR,1/2/2013,2504.449951,2568.550049,2504.449951,2568.550049,2568.550049,0
SP500TR,1/3/2013,2568.550049,2573.909912,2556.47998,2563.189941,2563.189941,0
SP500TR,1/4/2013,2563.189941,2578.25,2562.540039,2575.659912,2575.659912,0
SP500TR,1/7/2013,2575.659912,2575.659912,2558.429932,2567.629883,2567.629883,0
SP500TR,1/8/2013,2567.629883,2567.629883,2549.620117,2560.169922,2560.169922,0
SP500TR,1/9/2013,2560.179932,2573.419922,2560.179932,2567.02002,2567.02002,0
SP500TR,1/10/2013,2567.02002,2586.780029,2567.02002,2586.52002,2586.52002,0
SP500TR,1/11/2013,2586.52002,2587.620117,2578.560059,2586.689941,2586.689941,0
SP500TR,1/14/2013,2586.679932,2586.679932,2575.5,2584.27002,2584.27002,0
SP500TR,1/15/2013,2584.27002,2588.870117,2572.25,2587.199951,2587.199951,0
SP500TR,1/16/2013,2587.199951,2590.030029,2578.969971,2588.02002,2588.02002,0
SP500TR,1/17/2013,2588.02002,2610.040039,2588.02002,2602.639893,2602.639893,0
SP500TR,1/18/2013,2602.639893,2611.540039,2593.72998,2611.540039,2611.540039,0
SP500TR,1/22/2013,2611.550049,2623.219971,2603.080078,2623.219971,2623.219971,0
SP500TR,1/23/2013,2623.219971,2629.5,2618.580078,2627.22998,2627.22998,0
SP500TR,1/24/2013,2627.22998,2640.340088,2618.300049,2627.330078,2627.330078,0
SP500TR,1/25/2013,2627.340088,2642.139893,2627.340088,2641.639893,2641.639893,0
SP500TR,1/28/2013,2641.639893,2642.01001,2629.98999,2636.830078,2636.830078,0
SP500TR,1/29/2013,2636.840088,2652.959961,2633.169922,2650.429932,2650.429932,0
SP500TR,1/30/2013,2650.429932,2654.120117,2636.840088,2640.77002,2640.77002,0
SP500TR,1/31/2013,2640.76001,2644.610107,2631.620117,2634.159912,2634.159912,0
SP500TR,2/1/2013,2634.159912,2662.780029,2634.159912,2660.699951,2660.699951,0
SP500TR,2/4/2013,2660.689941,2660.689941,2628.780029,2630.050049,2630.050049,0
SP500TR,2/5/2013,2630.050049,2663.899902,2630.050049,2657.76001,2657.76001,0
SP500TR,2/6/2013,2657.77002,2659.949951,2646.199951,2659.550049,2659.550049,0
SP500TR,2/7/2013,2659.560059,2660.929932,2635.580078,2655.840088,2655.840088,0
SP500TR,2/8/2013,2655.830078,2671.48999,2655.830078,2670.850098,2670.850098,0
SP500TR,2/11/2013,2670.860107,2671.469971,2663.26001,2669.370117,2669.370117,0
SP500TR,2/12/2013,2669.370117,2678.610107,2666.899902,2673.77002,2673.77002,0
SP500TR,2/13/2013,2673.77002,2682.959961,2667.629883,2676.600098,2676.600098,0
SP500TR,2/14/2013,2676.600098,2681.550049,2665.560059,2678.77002,2678.77002,0
SP500TR,2/15/2013,2678.77002,2683.790039,2666.02002,2676.209961,2676.209961,0
